Cliente 1,"Fernando de Noronha, Praia do Sancho, Baía dos Porcos, Ponta Negra"
Cliente 2,"Rio de Janeiro, Cristo Redentor, Pão de Açúcar, Copacabana"
Cliente 3,"São Paulo, Avenida Paulista, Parque Ibirapuera, Museu do Ipiranga"
Cliente 4,"Curitiba, Jardim Botânico, Ópera de Arame, Florianópolis, Praia Mole"
Cliente 5,"Manaus, Teatro Amazonas, Encontro das Águas, Parque Nacional de Anavilhanas"
Cliente 6,"Brasília, Congresso Nacional, Catedral Metropolitana, Pontão do Lago Sul"
Cliente 7,"Natal, Dunas de Genipabu, Forte dos Reis Magos, Praia de Pipa"
Cliente 8,"Fortaleza, Beach Park, Jericoacoara, Pedra Furada, Canoa Quebrada"
Cliente 9,"Foz do Iguaçu, Cataratas do Iguaçu, Parque das Aves, Itaipu Binacional"
Cliente 10,"Porto Seguro, Passarela do Álcool, Arraial d'Ajuda, Trancoso, Praia do Espelho"
